tool,precision,recall,f1,accuracy,fpr,fnr
SecureFlow,1.0,1.0,1.0,1.0,0.0,0.0
Bandit,0.5961538461538461,0.49206349206349204,0.5391304347826087,0.49523809523809526,0.5,0.5079365079365079
Semgrep,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.5,0.3333333333333333
Pysa,0.75,1.0,0.8571428571428571,0.8,0.5,0.0
